sentiment,TweetText
"negative","I feel all alone on twitter itstolate"
"positive","jessecablek I want it too Now just wondering who will be carrying it in November Or direct purchase from google samsung"
"neutral","Why didnt Apple merge the address and search bars in Safari ala Crome in iOS simplethings"
"positive","Gotta love Twitter shit goes round the World like lightningonspeed"
"neutral","Twitter its been a pleasure but I have to go exercise and eat dinner Possibly be back b I sleep Well c I am BLESSED we all are"
"positive","Incredible million iPhone Ss in days better than the iPhone apple iphones"
"irrelevant","RT wireditalia Twitter milioni di cinguettii al giorno e un valore di miliardi di Tempi duri per Facebook e Google http"
"neutral","Video SIRI also gets angry chrisvoss apple apple siri iphoneS Ai"
"neutral","Apple Not Likely to Win Appstore Suit Case Against Amazon"
"positive","Register now for your Galaxy Nexus Android Google"
"neutral","On Google then go here GPlus Googleplus Google teamfollowback socialnetwork"
"negative","When Microsoft violated US antitrust lawsleaving Netscape out of business Novell woundedit played dumb"
"negative","if u need me just text me o wait u i wont get it cuz apple fucks me every time fuckingpissed"
"neutral","Android SDK now available google android"
"neutral","Job ICT System Engineer mw planova human capital ag Luzern Microsoft IT"
"neutral","Everything Can Be A Digital microsoft carnegiemellon"
"neutral","OccupyWallSt Apple stock DOWN despite iPhone monumental SALES ocuupy GOOGLE Verizoni smell a conspiracy"
"neutral","New Galaxy Nexus App Improvements New People App to improve contact information nexus samsung google android bitlynEJbyE"
"irrelevant","Estava ali na MICROSOFT tomando um cafezinho D"
"neutral","Check out our newly revamped Testimonials page for more information on how Microsoft Dynamics CRM can work for you"
"irrelevant","malisimo el intento de google maps de microsoft"
"neutral","Goodnight everyone twitter off"
"positive","This Data Usage feature looks amazing on ICS android samsung google GALAXYNexus"
"neutral","Google search to have default encryption"
"neutral","Watching this weeks episode of Hawaii FiveO Great use of Windows Phone SkyDrive Oh yeah a Dell Inspiron Duo was there too microsoft"
"irrelevant","AsiaClassifiedToday Point Park summit reflects Asian culture The Globe Point Park summit asia google ads"
"negative","Hey apple the SMS full message is complete shit Yes Im annoyed"
"irrelevant","Visualiza tus emails menciones en twitter eventos de facebook y ms desde Centro de notificaciones de IOS"
"neutral","Follow me and I follow you iOS fansoflilwayne follow apple"
"irrelevant","Ganun Di ba kasama ang wit lol RT RobyQQ Your Twitter followers either like you for your sense of humor or sex appeal"
"negative","stupid fucking Twitter Twitterapp give me my Damn mentions NOOWWWWWW UGH DRAWLIN AS ALWAYS TMW PROMOALLDAY FOLLOWLIMITISGAY TO"
"positive","Loving my new iPhoneS thanks apple for ios"
"neutral","Calling All IceCreamSandwich Lovers Google Samsung Like in Hong Kong A new look at whats new from Android"
"neutral","OH Sales guy BestBuy Im not selling or using any apple products during my mourning period over Jobs passing hmmm"
"irrelevant","msn quase ninguem facebook parado geral despedindo twitter geral ralando S"
"negative","apple u guys are gay"
"irrelevant","Microsoft Technology Summit Rusza druga edycja programu Twoja firma Twoja szansa na sukces microsoft"
"neutral","Win an Apple iPod Touch from Mommygaga get the Pampers Hello World Baby Memories App PampersHelloApps"
"neutral","Dear Microsoft seize the moment focus on developing Windows phones for enterprise solutions Succeed where RIM is failing"
"irrelevant","interface a voir en rel pour juger sinon ice cream sandwich est simplement monstrueux nexusprime google ICS"
"neutral","DREALRogers BE SLEEP N WHO NOEZ WHERE I BE BUT HOW ITs it U so called sleep but every sec u got a new twitter post up btfu"
