@relation tweets

@attribute TweetText string
@attribute sentiment {negative,irrelevant,neutral,positive}

@data
'I feel all alone on twitter itstolate',negative
'jessecablek I want it too Now just wondering who will be carrying it in November Or direct purchase from google samsung',positive
'Why didnt Apple merge the address and search bars in Safari ala Crome in iOS simplethings',neutral
'Gotta love Twitter shit goes round the World like lightningonspeed',positive
'Twitter its been a pleasure but I have to go exercise and eat dinner Possibly be back b I sleep Well c I am BLESSED we all are',neutral
'Incredible million iPhone Ss in days better than the iPhone apple iphones',positive
'RT wireditalia Twitter milioni di cinguettii al giorno e un valore di miliardi di Tempi duri per Facebook e Google http',irrelevant
'Video SIRI also gets angry chrisvoss apple apple siri iphoneS Ai',neutral
'Apple Not Likely to Win Appstore Suit Case Against Amazon',neutral
'Register now for your Galaxy Nexus Android Google',positive
'On Google then go here GPlus Googleplus Google teamfollowback socialnetwork',neutral
'When Microsoft violated US antitrust lawsleaving Netscape out of business Novell woundedit played dumb',negative
'if u need me just text me o wait u i wont get it cuz apple fucks me every time fuckingpissed',negative
'Android SDK now available google android',neutral
'Job ICT System Engineer mw planova human capital ag Luzern Microsoft IT',neutral
'Everything Can Be A Digital microsoft carnegiemellon',neutral
'OccupyWallSt Apple stock DOWN despite iPhone monumental SALES ocuupy GOOGLE Verizoni smell a conspiracy',neutral
'New Galaxy Nexus App Improvements New People App to improve contact information nexus samsung google android bitlynEJbyE',neutral
'Estava ali na MICROSOFT tomando um cafezinho D',irrelevant
'Check out our newly revamped Testimonials page for more information on how Microsoft Dynamics CRM can work for you',neutral
'malisimo el intento de google maps de microsoft',irrelevant
'Goodnight everyone twitter off',neutral
'This Data Usage feature looks amazing on ICS android samsung google GALAXYNexus',positive
'Google search to have default encryption',neutral
'Watching this weeks episode of Hawaii FiveO Great use of Windows Phone SkyDrive Oh yeah a Dell Inspiron Duo was there too microsoft',neutral
'AsiaClassifiedToday Point Park summit reflects Asian culture The Globe Point Park summit asia google ads',irrelevant
'Hey apple the SMS full message is complete shit Yes Im annoyed',negative
'Visualiza tus emails menciones en twitter eventos de facebook y ms desde Centro de notificaciones de IOS',irrelevant
'Follow me and I follow you iOS fansoflilwayne follow apple',neutral
'Ganun Di ba kasama ang wit lol RT RobyQQ Your Twitter followers either like you for your sense of humor or sex appeal',irrelevant
